location_name,judgement,action
Mnemba,"The review highlights significant safety hazards (rusty ladder, fragile dinghy), misleading marketing (no sailing or Mnemba Island visit), and poor value for money.","Replace the rusty ladder with a safe, modern boarding system to prevent injury.; Ensure the vessel used is structurally sound and not described as 'fragile' or 'old' to ensure passenger safety.; Correct marketing materials to accurately reflect that there is no sailing and no visit to Mnemba Island.; Restructure the tour to provide adequate time in the water or reduce the number of boats to improve the dolphin-watching experience."
Nungwi Beach,"The reviewer describes the tour as a waste of time, citing an incompetent guide, unsafe equipment practices, and a chaotic, poorly managed dolphin chase.","Train tour guides on professional conduct, including proper check-in procedures and clear communication with clients.; Ensure all necessary safety equipment (fins) is available and provided without requiring customers to argue for it.; Improve the dolphin-watching protocol to avoid chaotic 'chasing' behavior that scares the animals and frustrates guests.; Enhance the beach stops with more meaningful engagement or information rather than brief, superficial visits."
Stone Town,"The reviewer experienced deceptive practices regarding weather conditions, was forced to participate in an unsuitable excursion, and received an inadequate partial refund.",Implement strict weather monitoring protocols to accurately assess conditions before confirming excursions.; Train staff on honest communication regarding weather risks and safety to prevent deceptive claims.; Revise refund policies to ensure full refunds are issued when excursions are cancelled or rendered unusable due to weather or company error.
Stone Town,"The reviewer paid for a snorkeling activity that was not included in the tour package, and the guide was unaware of this, resulting in a lack of proper equipment.",Implement a pre-tour verification process to confirm all paid add-ons (like snorkeling) with the guide.; Ensure guides are briefed on all customer-specific inclusions before the tour begins.; Provide a clear mechanism for customers to communicate special requests or paid extras to the tour operator in advance.
Stone Town,"The reviewer complained about manipulative sales tactics, excessive staffing for a solo visitor, high prices, and an unsatisfied guide regarding the tip, deeming the tour a waste of time and money.",Implement strict guidelines prohibiting manipulative or emotional sales tactics by guides.; Review staffing ratios to ensure solo visitors are not assigned excessive assistants.; Audit spice farm pricing to ensure competitiveness compared to local markets.; Provide training for guides on professional handling of tipping expectations.
Jozani,The reviewer explicitly states that the guide at Jozani Forest was not very good and that they were left without a guide during a long 1-hour drive.,"Ensure a qualified guide is present with the group during the entire duration of the tour, including the 1-hour drive to Jozani Forest.; Investigate and retrain or replace the underperforming guide at Jozani Forest."
Stone Town,The review highlights safety concerns regarding the lack of life jackets on a bumpy boat ride and disappointment due to closed attractions and unengaging staff.,Mandate the provision and use of life jackets for all boat passengers.; Improve the smoothness of boat rides or provide better cushioning/seating.; Train tour representatives to be more engaging and proactive in selling tours.; Verify the operational status of historic attractions before booking to manage customer expectations.
Stone Town,"The review details severe safety hazards (broken boat engine, no life jackets), poor hygiene (filthy tent and table), and disrespectful customer service (ignoring requests to leave, mocking customers, no apology).","Implement rigorous pre-tour mechanical inspections for all boats to prevent engine failures.; Ensure all boats are equipped with functional life jackets for every passenger.; Upgrade and thoroughly clean the lunch tent and furniture to meet hygiene standards.; Train guides on customer service, specifically regarding handling complaints, respecting customer safety concerns, and providing apologies when service fails.; Establish a reliable emergency communication protocol with the tour agency to assist stranded customers."
Stone Town,The reviewer felt they were not given enough information about the history of Prison Island.,Ensure guides provide comprehensive historical context for Prison Island; Review and expand the script or talking points for the Prison Island stop to include more detailed history
Stone Town,The reviewer complains about overcrowding at the destinations and feels the Stone Town visit was rushed and poorly managed.,Implement crowd management strategies or suggest alternative time slots to reduce congestion at Prison Island and Nakupenda.; Extend the duration allocated for the Stone Town portion of the tour to allow for a more thorough and less rushed experience.
Stone Town,"The reviewer expresses dissatisfaction with the guide's lack of communication, describing him as 'nearly mute' despite being kind.",Conduct communication skills training for guides to ensure they are engaging and informative.; Implement a feedback mechanism to monitor guide performance regarding interaction levels.; Review guide assignments to ensure language proficiency and personality match the tour requirements.
Zanzibar,"The reviewer cites safety concerns due to proceeding in heavy rain, lack of communication regarding weather options, inadequate shelter causing delays, and unexpected inflated charges at the market.",Implement a clear weather policy that allows for rescheduling or cancellation if conditions become unsafe.; Improve pre-tour communication to inform clients about potential weather impacts and available options.; Ensure adequate shelter and contingency plans are in place for tour guides during adverse weather to minimize delays.; Investigate and address reports of inflated charges at partner venues like the Spicy Market to prevent conflicts of interest.
Old Dispensary,"The reviewer complains about unprofessional guide behavior, missed itinerary stops, lack of provided amenities like water, and insufficient time for meals.","Enforce strict policies against guide phone usage during tours and ensure senior guides actively participate rather than deferring to trainees.; Audit tour routes to ensure all promised Stone Town locations, such as the Old Dispensary, are visited and accessible.; Include complimentary water in the tour package or clearly state that it is not included to avoid unexpected costs for customers.; Adjust the tour schedule to include a dedicated break for lunch or snacks between pickup and drop-off times."
Zanzibar,"The reviewer experienced significant logistical delays, poor communication from the driver, and felt uncomfortable due to aggressive upselling tactics during the tour.","Implement strict punctuality protocols and require drivers to proactively communicate delays to clients.; Train guides to reduce or eliminate aggressive upselling of food, products, and shows to improve guest comfort.; Enhance the authenticity of the spice farm experience by increasing the variety and quantity of spices available for inspection to meet expectations of non-tourist-focused visitors."
Stone Town,"The customer paid for a Prison Island visit and water taxi that were not provided, and the refund request was ignored.",Update the tour description to accurately reflect the itinerary and exclude Prison Island if it is not included.; Implement a proactive refund policy for services not rendered as advertised.; Improve customer support responsiveness to address refund requests promptly.
Stone Town,"The tour description claims a Spice Farm visit is included, but the guide informed the customer it was no longer part of the tour.",Update the tour listing to remove the Spice Farm visit if it is no longer included.; Ensure guides are aligned with the current tour inclusions to avoid misleading customers.
Freddie Mercury Museum,"The review highlights multiple serious issues including billing discrepancies, unfulfilled inclusions, safety concerns regarding boat equipment, poor guide performance, and inadequate customer service.","Audit and correct billing practices to ensure charges align with advertised 'reserve now' policies.; Implement a system to automatically issue credits or refunds when included attractions are closed or unavailable on the tour date.; Mandate the provision of life jackets for all passengers on boats crossing open water.; Establish stricter vetting and training standards for guides, ensuring they possess adequate language skills and knowledge before leading tours.; Enforce the advertised pickup and drop-off policy, ensuring guides do not abandon guests to walk back to hotels.; Review and improve the quality and portion sizes of meals included in the tour package."
Michamvi,"The review details severe operational failures including incorrect tour times, missed pickup locations, unresponsive communication, poor quality equipment, and misleading inclusions regarding restaurant reservations.",Verify and correct advertised tour start times and itineraries to match actual operations.; Implement a reliable communication protocol for pickup confirmations and real-time updates to guests.; Ensure drivers have accurate navigation tools and clear instructions to locate hotels without circling.; Inspect and replace leaking or ill-fitting snorkel gear to ensure guest comfort and safety.; Clarify tour inclusions regarding The Rock Restaurant to prevent false expectations about reservations.
Jozani,The reviewer found the guide boring and explicitly stated that the rock restaurant was not to be recommended due to poor food quality.,Provide training for guides to improve engagement and storytelling during the Jozani forest segment.; Review the partnership with The Rock Restaurant or provide alternative dining options with higher quality food.
Stone Town,"The review highlights mechanical issues with the boat, a rushed itinerary that prevented enjoyment, lack of explanation for schedule changes, and unprofessional guide behavior.","Conduct regular maintenance checks on boats to prevent engine failures during tours.; Rebalance the daily itinerary to allow more time at key attractions like Jozani Forest and reduce rushed transitions.; Train guides to provide clear explanations for schedule changes and maintain professional conduct (e.g., not leaving guests to play with friends).; Improve guide language skills or provide multilingual support to better assist Spanish-speaking guests."
Mnemba,"The review describes a disastrous experience involving an unengaged guide, safety concerns with the boat, poor food quality and service, and significant discrepancies between the advertised tour and the actual experience.","Implement mandatory training for guides on customer engagement, communication, and multilingual support (English/French).; Ensure all boats used for excursions are equipped with proper safety gear, specifically life jackets, and verify vessel quality before departure.; Audit and upgrade the lunch venue to ensure hygiene standards, adequate portion sizes for the group, and a professional dining environment.; Revise the itinerary to ensure sufficient time at key locations (e.g., sunset beach) and provide clear explanations and context during the tour.; Review marketing materials to ensure photos and descriptions accurately reflect the actual conditions of the aquarium and beach to manage customer expectations."
Stone Town,"The reviewer complained about a boring and poorly guided tour, difficulty understanding the guide, inconsistent staffing, and hidden costs for entrance fees and tips.","Improve guide training to ensure better engagement, enthusiasm, and clear communication.; Standardize tour staffing to avoid handing off customers to different guides mid-tour.; Clearly disclose all additional costs (entrance fees, tips) during the booking process to avoid surprises.; Enhance the tour narrative and historical context to make the experience more engaging and less 'boring'."
Stone Town,"The review complains about misleading tour descriptions, lack of promised amenities (AC vehicle, water), poor guide knowledge, and unresponsiveness to refund requests.","Update tour descriptions to accurately reflect that the Stone Town portion is a walking tour in hot weather.; Ensure air-conditioned vehicle transport is provided for pickup and drop-off as advertised, or clearly state if walking is required.; Provide complimentary water to tourists during the tour.; Train guides to ensure they possess specialist knowledge of the historical sites.; Implement a clear and fair refund policy for services that do not match the advertised description.; Ensure guides arrive on time for pickups."
Kuza Cave,"The reviewer complained that the guide was tired and napping in the car, resulting in a lack of engagement during the tour.",Implement stricter monitoring of guide fatigue and ensure adequate rest periods before tours.; Provide training on maintaining high energy and engagement levels throughout the entire duration of the tour.; Consider rotating guides or adjusting schedules to prevent guides from being overworked.
Kuza Cave,"The reviewer reported hygiene issues (filthy toilets), lack of privacy (no changing rooms), and safety concerns (biting insects) at Kuza Cave.","Replace Kuza Cave with a better-equipped alternative like Malum Cave.; If retaining Kuza Cave, install proper changing facilities and improve toilet hygiene standards.; Provide insect repellent or protective gear for guests entering the water."
Paje Beach,The reviewer found Jozani Forest disappointing due to overcrowding.,"Implement crowd management strategies at Jozani Forest, such as timed entry tickets or guided group limits.; Promote off-peak visiting hours to tourists to reduce congestion."
Paje,The reviewer stated that The Rock restaurant was a disappointment compared to the photos they had seen.,Update marketing materials and photos of The Rock restaurant to accurately reflect the current state of the venue.; Conduct a quality audit of The Rock restaurant to identify and address any service or ambiance issues causing the discrepancy.
Kuza Cave,"The reviewer complained about unsafe driving, lack of safety equipment (lifejacket), and poor service from the driver who provided no information or guidance at stops.",Conduct safety training for drivers regarding speed limits and defensive driving.; Ensure life jackets are available and provided to customers at Kuza Cave.; Train drivers or provide them with detailed information sheets about Paje Beach and The Rock to answer customer questions.; Implement a policy where guides or drivers provide brief orientations at each stop rather than just dropping passengers off.
Jozani,The reviewer complains that the booked German-speaking service was not fully provided and that drinks were not offered as included in the booking.,"Ensure all guides on the tour package are proficient in the language specified at booking or provide a dedicated interpreter.; Audit the tour package inclusions to ensure all promised amenities, such as beverages, are consistently provided to customers."
Menai Bay,The reviewer complains that the tour is overpriced for the experience and that too much time is spent on transportation rather than activities.,Review and adjust pricing to better reflect the value provided or increase the duration of on-site activities.; Optimize the itinerary to reduce transit time between locations.; Clarify marketing materials to accurately describe whether the safari is private or shared.
Stone Town,"The reviewer expresses dissatisfaction with the guide's lack of knowledge regarding the history of Prison Island and Stone Town, and mentions negative experiences with hard sales tactics at markets.",Provide comprehensive historical training for guides covering Prison Island and Stone Town sites.; Implement policies to prevent or mitigate aggressive sales tactics by local vendors during the tour.; Curate the tour route to minimize exposure to high-pressure market areas or provide better context for them.
Stone Town,The reviewer notes that the guide's knowledge was lacking for the walking tour and Prison Island segments compared to the spice farm portion.,Conduct specific training sessions for guides on the history and details of Prison Island and Stone Town walking tours.; Implement a quality assurance check to ensure consistent knowledge levels across all tour segments.
Jozani,"The review highlights issues with the driver's poor English communication, the failure to provide a promised snack, and the inconvenience of requiring cash payment for entry.","Provide language training or hire bilingual drivers/guides to improve communication with international tourists.; Ensure that all promised amenities, such as snacks, are consistently provided during the tour.; Implement electronic payment options (credit cards, mobile payments) for entry fees to avoid the inconvenience of cash-only requirements."
House of Wonders,"The reviewer expressed disappointment due to high pickup fees, major attractions being closed, and requested a refund, stating the tour was not worth it.","Review and adjust the pricing structure for pickup services to ensure transparency and competitiveness.; Implement a policy to proactively inform customers about potential closures due to local events (elections, unrest) before booking.; Develop alternative itinerary options or backup sites for when primary attractions like the slave market or House of Wonders are closed.; Establish a clear and responsive refund policy for tours significantly impacted by external closures."
Dongwe,"The reviewer states that a necessary transfer option was not available, indicating a service gap.",Add transfer routes from Zanzibar airport to Dongwe to the available service options.
Stone Town,"The reviewer complains about a lack of prior warning regarding the need for cash and the heat, leading to inconvenience.",Update booking confirmations to explicitly warn customers to bring sufficient cash for tips and purchases.; Include information about the heat and recommended hydration/clothing in pre-tour instructions.
Stone Town,The reviewer experienced difficulty locating the meeting point due to imprecise location details.,Provide more precise and detailed meeting point instructions in booking confirmations.; Include a map or landmark reference for the meeting location.
Stone Town,"The reviewer complained about a lack of structure, unmet requests for breaks and an ATM, and insufficient historical information.",Implement a more structured itinerary to ensure consistent pacing and coverage.; Train guides to proactively offer or accommodate requests for breaks and drinks.; Provide guides with a list of nearby ATMs and efficient routes to them to reduce wait times.; Enhance guide training to include deeper historical context and narratives about Stone Town.
Freddie Mercury Museum,"The reviewer was disappointed that the Freddie Mercury museum, a key highlight, was not actually visited as part of the tour.",Update tour description to clarify that the Freddie Mercury museum is only viewed from the outside or not included.; Negotiate access to the Freddie Mercury museum to include it in the tour itinerary.; Provide alternative stops or extended time at other attractions to compensate for the lack of museum entry.
Paje,"The reviewer complained that the tour schedule was too rushed, allowing only 10-20 minutes at beach stops due to large displacement times, and mentioned being bitten twice during the turtle experience.",Adjust tour departure times to allow for longer stays at beach destinations; Optimize route logistics to reduce travel time between stops; Investigate and address safety protocols for the turtle interaction activity to prevent bites
Jozani,"The reviewer complains about a mismatch between the booked German-language tour and the actual experience, lack of basic amenities like water and lunch, and high prices that did not include entry fees.",Ensure tour guides match the language specified in the booking or clearly communicate limitations in advance.; Provide bottled water in the vehicle for all tours.; Include a lunch break or meal option in the Stone Town itinerary.; Clarify pricing structure to indicate whether entry fees are included or provide a transparent breakdown of additional costs.
Kwale Island,"The review highlights significant safety hazards including a broken rudder, slippery and dangerous disembarkation conditions, and poor boat maintenance.","Conduct immediate safety inspections and repairs on all boats, specifically focusing on rudder fastenings and structural integrity.; Implement strict tide and weather protocols to prevent departures or returns in conditions that create waist-high mud or strong swells.; Install or maintain proper jetty infrastructure at landing sites to eliminate the need for slippery, waist-high water exits.; Train crew on emergency procedures for mechanical failures like rudder breakage to ensure a controlled and safe response."
Jozani,"The reviewer was disappointed by being placed in a noisy group tour despite expecting a private experience, which hindered enjoyment, and criticized the limited selection of items at the spice farm.",Ensure private tour bookings are strictly honored and not merged with group tours without explicit consent.; Implement measures to manage group noise levels or enforce quiet zones during wildlife viewing to prevent disturbing animals and other guests.; Expand the variety and selection of products available for purchase at the spice farm.
Jozani,"The reviewer experienced significant scheduling errors, was forced into a group setting despite paying for a private tour, missed key itinerary items, and felt the service was disorganized and not worth the price.","Improve communication protocols to ensure pickup time changes are confirmed and managed effectively.; Strictly adhere to private tour contracts by not mixing private clients with group tours.; Enhance itinerary management to ensure all booked activities (beach, cave) are completed and clients are not dropped early.; Improve coordination between guides and local partners to prevent delays and ensure punctuality for reservations."
Zanzibar,The reviewer expressed disappointment over the lack of pre-tour communication and criticized the tour guide for being unengaging and appearing to fall asleep.,Implement automated email or WhatsApp confirmations and reminders prior to the tour.; Conduct performance reviews for tour guides to ensure engagement and attentiveness.; Provide training for guides on maintaining energy levels and delivering informative commentary.
Paje,"The reviewer expresses dissatisfaction with the tour's value, noting that a key activity (cave tour) was skipped and the experience felt like just driving.",Investigate why the cave tour was skipped for this group and ensure all booked activities are completed.; Review the itinerary to reduce excessive driving time and increase time spent at key attractions.; Improve the quality or selection of stops to ensure Paje Beach and other locations meet customer expectations.
Kuza Cave,"The reviewer describes the dolphin tour as dangerous and chaotic, notes a lack of safety warnings for the steep cave descent, and expresses surprise at an undisclosed deposit fee.",Implement safety protocols or limit the number of boats to prevent dangerous crowding during dolphin tours.; Provide clear pre-tour warnings and safety instructions regarding the steep and difficult descent into Kuza Cave.; Clearly disclose the $20 deposit requirement for the Rock restaurant in the booking details to avoid customer surprise.
Paje Beach,"The reviewer explicitly states this was their least favorite tour, citing excessive driving time, a rushed itinerary with too many activities, and intrusive dolphin handling practices.","Reduce the number of stops or split the tour into shorter packages to minimize driving time and allow more time at each location.; Implement stricter ethical guidelines for dolphin interactions to prevent boats from racing to corner animals and ensure a less intrusive experience.; Improve driver and captain engagement to ensure they are more interactive and attentive to tourists during the boat portion of the tour.; Optimize the route to reduce the 1.5-hour drive to the dolphin tour and the 2-hour return drive, or offer alternative pickup/drop-off points closer to the activity sites."
Kuza Cave,"The reviewer complains about poor time management, resulting in rushed visits to key locations and a lack of time for lunch.",Rebalance the tour itinerary to allocate more time to the Rock Restaurant and Kuza Cave.; Reduce the duration of the stay in the nature reserve to prevent rushing other stops.; Ensure sufficient time is scheduled for lunch or provide a packed meal option.
Kuza Cave,"The reviewer reports a discrepancy where promised snorkeling gear was not provided, forcing them to snorkel without equipment.",Ensure snorkeling gear is available and provided at the snorkeling spot as advertised.; Clarify package inclusions regarding snorkeling equipment to avoid customer confusion.
Zanzibar,"The review highlights severe operational failures including a 35-minute late pickup, unresponsive communication, poor lighting, hygiene issues with bugs on food, and a lack of privacy, resulting in a highly negative experience.",Implement strict punctuality protocols for drivers and establish reliable communication channels (phone/WhatsApp) for real-time updates.; Improve site setup to ensure adequate lighting for evening dining and implement pest control measures to keep insects away from food and guests.; Enhance the exclusivity and isolation of the dining area to match the premium price point and improve the overall ambiance.; Review and improve the quality of cocktails and bar service.
Zanzibar,The reviewer experienced a lack of communication regarding the absence of dolphins and uncertainty due to the guide disappearing for an extended period.,"Implement a protocol to inform guests immediately if expected wildlife (like dolphins) are not present, rather than waiting until the return journey.; Establish clear communication guidelines for guides to ensure they remain with the group or provide regular status updates if they need to step away."
Freddie Mercury Museum,"The reviewer noted that the guide was difficult to hear and understand at times, which hindered the quality of the tour experience.",Provide guides with portable microphones or speaking devices to ensure clarity in outdoor or noisy environments.; Conduct training on vocal projection and speaking pace to improve guest comprehension.
Stone Town,"The reviewer noted that no bottled water was provided during the tours, which was needed.",Provide bottled water to all guests during tours.
Stone Town,The reviewer complained about a guide with poor language skills and the lack of toilet or lunch breaks during a long tour.,Ensure guides assigned to Stone Town tours have sufficient language proficiency for the target audience.; Schedule mandatory toilet and lunch breaks for tours lasting longer than 4 hours.
